epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.916,1.80301,4.57306,1.92912,0.22157,0.21503,0.12709,0.0474,2.00557,3.88619,2.16906,0.0669029,9.95902e-05,9.95902e-05
2,251.347,1.51682,3.30398,1.76133,0.46535,0.3342,0.30629,0.13771,1.63988,2.9495,1.92024,0.0336695,0.000199578,0.000199578
3,370.734,1.372,2.89668,1.62523,0.59715,0.39896,0.42397,0.22249,1.44598,2.58905,1.75386,0.000436128,0.000299516,0.000299516
4,490.792,1.3249,2.57064,1.56354,0.67632,0.4715,0.53839,0.2971,1.46902,2.1596,1.71821,0.000299833,0.000299833,0.000299833
5,609.635,1.2789,2.38163,1.51495,0.67024,0.48964,0.55208,0.30316,1.4807,2.17423,1.72477,0.000299704,0.000299704,0.000299704
6,729.075,1.27428,2.25367,1.50624,0.6786,0.51418,0.60353,0.34901,1.45225,1.9621,1.68386,0.000299538,0.000299538,0.000299538
7,847.791,1.23581,2.14542,1.4712,0.72749,0.54145,0.61485,0.36673,1.41073,1.89017,1.64878,0.000299334,0.000299334,0.000299334
8,966.206,1.17407,2.08488,1.44735,0.72925,0.55181,0.65978,0.38791,1.36838,1.81327,1.62267,0.000299094,0.000299094,0.000299094
9,1085.35,1.16941,2.04375,1.4487,0.69773,0.5829,0.67351,0.40935,1.37506,1.71306,1.61173,0.000298817,0.000298817,0.000298817
10,1204.55,1.20703,1.99403,1.44875,0.71377,0.54922,0.64552,0.38658,1.40558,1.77795,1.62463,0.000298504,0.000298504,0.000298504
11,1324.52,1.13513,1.8855,1.39625,0.70043,0.64249,0.70214,0.41,1.40289,1.68131,1.62408,0.000298153,0.000298153,0.000298153
12,1443.78,1.1794,1.86139,1.42688,0.72951,0.62176,0.7118,0.44046,1.30351,1.60559,1.59008,0.000297766,0.000297766,0.000297766
13,1561.5,1.15003,1.85382,1.40787,0.7617,0.59585,0.70429,0.44187,1.29624,1.62208,1.59507,0.000297343,0.000297343,0.000297343
14,1679.96,1.13281,1.83483,1.38827,0.79039,0.61399,0.72135,0.43174,1.31877,1.59361,1.58864,0.000296883,0.000296883,0.000296883
